!Xóõ	[u'ko']
'k	[u'/(\u0259)k/', u'/(\u0259)k/']
brainstorme	[u'/\u02c8bren.st\u0254r.m\u0259/', u'/\u02c8bren.st\u0254r.m\u0259/']
brainstormen	[u'/\u02c8bren.st\u0254r.m\u0259(n)/', u'/\u02c8bren.st\u0254r.m\u0259(n)/']
brainstormend	[u'/\u02c8bren.st\u0254r.m\u0259nt/', u'/\u02c8bren.st\u0254r.m\u0259nt/']
brainstormt	[u'/\u02c8bren.st\u0254rmt/', u'/\u02c8bren.st\u0254rmt/']
braintrust	[u'/\u02c8bren.tr\u028fst/', u'/\u02c8br\u025b\u026a\u032fn.tr\u028fs/']
braken	[u'/brak\u0259(n)/']
branche	[u'/\u02c8br\u0251\u0303\u0283/, /\u02c8br\u0251\u0303\u0283\u0259/']
brand	[u'/\u02c8br\u0251nt/', u'/\u02c8br\u0251nt/', u'/\u02c8br\u0251nd/']
branding	[u'/\u02c8br\u0251nd\u026a\u014b(g)/']
brandladder	[u'/\u02c8br\u0251nt.l\u0251d.\u0259r/']
brandnieuw	[u'/\u02c8br\u0251nt.niu/']
brandschatten	[u'/\u02c8br\u0251ntsx\u0251t\u0259(n)/']
brandschilderen	[u'/\u02c8br\u0251nt.sx\u026al.d\u0259.r\u0259(n)/']
brandschoon	[u'/\u02c8br\u0251nt.sxo\u02d0n/']
brandstichten	[u'/\u02c8br\u0251nt.st\u026ax.t\u0259(n)/']
brandveilig	[u'/br\u0251nt.\u02c8v\u025b.l\u0259x/']
brandvlek	[u'/\u02c8br\u0251nt.vl\u025bk/']
brandvrij	[u'/br\u0251nt.\u02c8vr\u025b(i)/']
brandzolder	[u'/\u02c8br\u0251nt.z\u0254l.d\u0259r/']
brauwen	[u'/br\u0251\u028a\u032d\u02b7\u0259(n)/']
Braziliaan	[u'/\u02ccbrazili\u02c8ja\u02d0n/']
Braziliaans	[u'/\u02ccbrazili\u02c8ja\u02d0ns/']
Braziliaanse	[u'/\u02ccbrazili\u02c8ja\u02d0ns\u0259/']
Brazilië	[u'/bra\u02c8zili.j\u0259/']
breedband	[u'/\u02c8bred.b\u0251nt/', u'/\u02c8bred.b\u0251nt/', u'/\u02c8bred.b\u0251nd/']
breiden	[u'/\u02c8br\u025bid\u0259(n)/']
breien	[u'/\u02c8br\u025b.j\u0259(n)/']
breinaald	[u'/\u02c8br\u025b\u026a\u032fna\u026bt/', u'/\u02c8br\u025b\u02d0nalt/', u'/\u02c8br\u025b\u026a\u032fnald/']
brekebeen	[u'/\u02c8bre.k\u0259.\u02ccben/', u'/\u02c8bre.k\u0259.\u02ccben/']
brekebeentje	[u'/\u02c8bre.k\u0259.\u02ccben.c\u02b2\u0259/', u'/\u02c8bre.k\u0259.\u02ccben.t\u02b2\u0259/', u'/\u02c8bre.k\u0259.\u02ccben.c\u0259/']
brekebeentjes	[u'/\u02c8bre.k\u0259.\u02ccben.c\u02b2\u0259s/', u'/\u02c8bre.k\u0259.\u02ccben.t\u02b2\u0259s/', u'/\u02c8bre.k\u0259.\u02ccben.c\u0259s/']
brekebenen	[u'/\u02c8bre.k\u0259.\u02ccbe.n\u0259(n)/', u'/\u02c8bre.k\u0259.\u02ccbe.n\u0259(n)/']
brem	[u'/br\u025bm/']
brengen	[u'/\u02c8br\u025b\u014b.\u0259(n)/']
brief	[u'/brif/']
bries	[u'/bris/']
bries hamiele	[u'/bris ha\u02c8mil\u0259/']
bries miele	[u'/bris \u02c8mil\u0259/']
bries mieles	[u'/bris \u02c8mil\u0259s/']
briet	[u'/brit/']
briet hamila	[u'/brit hami\u02c8la/']
briet hamilot	[u'/brit hami\u02c8l\u0254t/']
briet mila	[u'/brit mi\u02c8la/']
briet milot	[u'/brit mi\u02c8l\u0254t/']
brilbeer	[u'/\u02c8br\u026a\u026b.b\u026a\u02d0r/', u'/\u02c8br\u026a\u026b.be\u02d0r/', u'/\u02c8br\u026al.be\u02d0r/']
brillenkoker	[u'/\u02c8br\u026al\u0259(n)\u02cckok\u0259r/']
britot	[u'/bri\u02c8t\u0254t/']
britot hamila	[u'/bri\u02c8t\u0254t hami\u02c8la/']
britot mila	[u'/bri\u02c8t\u0254t mi\u02c8la/']
Brits	[u'/br\u026ats/']
broccoli	[u'/\u02c8br\u0254k\u0254l\u026a/']
broch	[u'/br\u0254x/']
broechiem habaïem	[u'/\u02c8bru\u0263im ha\u02c8ba\u0294im/']
broeden	[u"/'bru.d\u0259(n)/"]
broeder	[u'/brud\u0259r/']
Broederkerk	[u'/\u02c8bru.d\u0259r\u02cck\u025brk/', u'/\u02c8bru.d\u0259r\u02cck\u025brk/']
broer	[u'/bru\u02d0r/']
brokkelen	[u'/\u02c8br\u0254k\u0259l\u0259(n)/']
bron	[u'/\u02c8bron/']
bronader	[u"/'br\u0254.na.d\u0259r/", u"/'br\u0254n.\u0294a.d\u0259r/", u"/'br\u0254.na.d\u0259r/"]
brooche	[u'/\u02c8bro\u0263\u0259/']
brooches	[u'/\u02c8bro\u0263\u0259s/']
brood	[u'/bro\u02d0t/']
broodbeleg	[u'/\u02c8brod.b\u0259.\u02ccl\u025b\u03c7/', u'/\u02c8brod.b\u0259.\u02ccl\u025bx/', u'/\u02c8brod.b\u0259.\u02ccl\u025bx/']
brouges	[u'/\u02c8br\u0251u\u0263\u0259s/']
brouwerij	[u"/br\u0254u\u0259'r\u025bi/"]
brug	[u'/br\u028f\u03c7/', u'/br\u028fx/']
bruin	[u'/br\u0153\u028fn/']
bruine beer	[u'/\u02ccbr\u0153\u028fn\u0259\u02c8be\u02d0r/']
bruinig	[u'/\u02c8br\u0153\u028fn\u0259\u03c7/', u'/\u02c8br\u0153\u02d0n\u0259x/', u'/\u02c8br\u0153\u02d0n\u026ax/']
brunchen	[u'/\u02c8br\u028fn\u0283\u0259n/', u'/\u02c8br\u028fn\u0283\u0259/']
brunchte	[u'/\u02c8br\u028fn\u0283t\u0259/']
Brunei	[u'/bry.\u02c8n\u025b\u026a\u032f/', u'/bry.\u02c8n\u025b\u02d0/']
Bruneis	[u'/\u02c8brun\u025b\u026as/']
brutaal	[u"/bry'tal/"]
bruto	[u'/bryto/']
bruut	[u'/\u02c8bryt/']
BSN	[u"/\u02ccb\u028fr\u0263\u0259r's\u028f\u02d0v\u0259s\u02ccn\u028fm\u0259r/", u"/be\u0294\u025bs'\u0294\u025bn"]
bsn	[u"/be\u0294\u025bs'\u0294\u025bn"]
BSN-nummer	[u"/be\u0294\u025bs'\u0294\u025bn\u028fm\u0259r/"]
bucolisch	[u"/by'kolis/"]
buddy	[u"/'b\u0275.di/"]
budget	[u'/b\u028fd\u02c8\u0292\u025bt/, /\u02c8b\u028fd\u0292\u025bt/']
buffel	[u"'b\u0275f\u0259l"]
bugel	[u'/\u02c8by.\u03c7\u0259\u026b/', u'/\u02c8by\u02d0.\u0263\u0259l/']
buggy	[u'/\u02c8b\u028f.gi/', u'/\u02c8b\u028f.\u0263y/']
bui	[u'/b\u0153\u028f/', u'/b\u0153\u02d0/']
buien	[u'/\u02c8b\u0153\u028f\u0259(n)/', u'/b\u0153\u02d0\u0259(n)/']
buig	[u'/b\u0153yx/']
buigen	[u'/b\u0153y\u03c7\u0259(n)/']
buiig	[u'/b\u0153yj\u0259x/']
buik	[u'/b\u0153\u028f\u032fk/', u'/b\u0153\u02d0k/']
buikpijn	[u'/\u02c8b\u0153\u028f\u032fk.p\u025b\u026a\u032fn/', u'/\u02c8b\u0153\u02d0k.p\u025b\u02d0n/', u'/\u02c8b\u0153\u02d0k.p\u025b\u026a\u032fn/']
buiten	[u'/\u02c8b\u0153\u028f\u032ft\u0259(n)/', u'/\u02c8b\u028c\u028f\u032ft\u0259(n)/', u'/\u02c8b\u0153\u02d0t\u0259(n)/']
buitenboordmotor	[u'/\u02c8b\u0153\u028ft\u0259(n)bortmot\u0259r/']
buitengewoon	[u'/\u02c8b\u0153\u028f\u032ft\u0259(\u0274)\u03c7\u0259\u02cc\u028bon/', u'/\u02c8b\u028c\u028f\u032ft\u0259(\u0274)\u03c7\u0259\u02cc\u028bo\u028a\u032fn/', u'/\u02c8b\u0153\u02d0t\u0259(\u014b)\u0263\u0259\u02cc\u03b2\u031eon/', u'/\u02ccb\u0153\u02d0t\u0259(n)\u0263\u0259\u02c8wo\u02d0n/']
Buitenkerk	[u'/\u02c8b\u0153\u028f\u032f.t\u0259\u02cck\u025brk/', u'/\u02c8b\u0153\u02d0.t\u0259\u02cck\u025brk/']
buitje	[u'/\u02c8b\u0153\u028fcj\u0259/', u'/\u02c8b\u0153\u02d0tj\u0259/']
buitjes	[u'/\u02c8b\u0153\u028fcj\u0259s/', u'/\u02c8b\u0153\u02d0tj\u0259s/']
bul	[u'/b\u028fl/']
bulderen	[u'/b\u028cld\u0259r\u0259(n)/']
Bulgaars	[u'/b\u0275\u026b\u02c8\u03b3\u030aa\u02d0rs/']
bultrug	[u'/\u02c8b\u028f\u026btr\u028fx/']
bundist	[u"/bun'dist/"]
bundisten	[u"/bun'dist\u0259n/"]
bunkerdorp	[u'/\u02c8b\u028f\u014bk\u0259r\u02ccd\u0254rp/']
bureau	[u'/by\u02c8ro/']
burgerlijk	[u'/\u02c8b\u028fr\u0263\u0259rl\u0259k/']
burgerservice	[u"/\u02ccb\u028fr\u0263\u0259r's\u028f\u02d0v\u0259s/"]
burgerservicenummer	[u"/\u02ccb\u028fr\u0263\u0259r's\u028f\u02d0v\u0259s\u02ccn\u028fm\u0259r/"]
Burkina Faso	[u'/bur.\u02ccki.na.\u02c8f\u0251.so/', u'/bur.\u02ccki.na.\u02c8f\u0251.so/', u'/bur.\u02ccki.na.\u02c8fa.so/']
Burundi	[u'/bu.\u02c8run.di/', u'/bu.\u02c8run.di/']
bus	[u'/b\u0275s/']
bushalte	[u'/\u02c8b\u028fsh\u0251\u026bt\u0259/', u'/\u02c8b\u028fsh\u0251lt\u0259/']
buur	[u'/byr/']
buurman	[u'/byrm\u0251n/']
buurt	[u'/byrt/']
buurt-BBQ	[u'/\u02c8byrtb\u0251rb\u0259\u02cckju/']
buurtbarbecue	[u'/\u02c8byrtb\u0251rb\u0259\u02cckju/']
byte	[u'/b\u0251jt/', u'/b\u0251jt/']
bètadeeltje	[u'/\u02c8b\u025b\u02d0ta\u02ccdelt\u02b2\u0259/']
C-groot	[u"/se'\u0263rot/"]
c-klein	[u"/se'kl\u025b\u026an/"]
C-majeur	[u"/se'\u0263rot/"]
c-mineur	[u"/se'kl\u025b\u026an/"]
cabane	[u"/ka'ban\u0259/"]
cabanes	[u'/ka\u02c8ban\u0259s/']
cabaret	[u'/\u02cck\u0251b\u0251\u02c8r\u025b/']
cacao	[u'/kaka\u02c8o\u02d0/']
cacaoboom	[u'/k\u0251\u02c8k\u028c\u028abom']
cadeau	[u'/ka\u02c8do\u02d0/']
café	[u"/k\u0251'fe/"]
cala	[u'/\u02c8ka.la/', u'/\u02c8ka.la/', u'/\u02c8ka\u02d0.la/']
calculator	[u'/k\u0251lk\u028f\u02c8lat\u0254r/']
calculatoren	[u'/\u02cck\u0251lkyla\u02c8tor\u0259n/']
callipasta	[u'/\u02cck\u0251li\u02c8p\u0251sta/']
calorimeter	[u'/\u02cckal\u0254ri\u02c8met\u0259r/']
Calvincyclus	[u'/\u02c8k\u025b\u026bv\u026an\u02ccsikl\u028fs/']
Cambodja	[u'/k\u0251m.\u02c8b\u0254.dja/', u'/k\u0251m.\u02c8b\u0254.dja/', u'/k\u0251m.\u02c8b\u0254.t\u0283a/']
cambrium	[u'/\u02c8k\u0251mbri\u02cc\u028fm/']
camera	[u'/\u02c8kam\u0259\u02ccra/']
camion	[u'/kami\u02c8j\u0254n/']
camoufleren	[u'/k\u0251mufler\u0259n/']
campagne	[u'/k\u0251m\u02c8p\u0251\u0272\u0259/']
camping	[u'/\u02c8k\u025bmp\u026a\u014b/', u'/\u02c8k\u0251mp\u026a\u014b/']
campus	[u'/\u02c8k\u0251mp\u028fs/']
Canada	[u'/\u02c8k\u0251.n\u0251.da/', u'/\u02c8k\u0251.na.da/', u'/\u02c8k\u0251.n\u0251.da/', u'/\u02c8ka.na.da/']
canard	[u"ka'nar"]
canofobie	[u'/ka.no.fo.\u02c8bi/']
canon	[u"/'ka.n\u0254n/"]
canoniek	[u'/\u02ccka.no.\u02c8nik/', u'/\u02ccka.no.\u02c8nik/', u'/\u02ccka.no.\u02c8nik/']
cantharel	[u'/\u02cck\u0251nta\u02c8r\u025b\u026b/']
capabel	[u'/k\u0251\u02c8pab\u0259l/']
capaciteit	[u'/kapasi\u02c8t\u025bit/']
capibara	[u'/\u02cckapi\u02c8ba\u02d0ra/']
capoeira	[u"/kapu'\u026a:ra/"]
capoeirista	[u"/kapu\u026a:'rista/"]
capriool	[u'//']
capuchon	[u'/\u02cck\u0251.py.\u02c8\u0283\u0254n/', u'/\u02ccka.py.\u02c8\u0283\u0254\u0303\u02d0/']
Caracas	[u'/kar\xe1kas/']
carambole	[u"/kar\u0251m'bol/"]
cardiologie	[u"/k\u0251rdijolo'xi/"]
cardioloog	[u"/k\u0251rdijo'lox/"]
carnivoor	[u'/k\u0251rni\u02c8vor/']
carpoolen	[u'/\u02c8k\u0251:rpu:l\u0259n/']
catalogus	[u"/k\u0251'talog\u0259s/"]
catastrofaal	[u'/\u02cckat\u0251stro\u02c8fal/']
cDNA	[u'/se.de.j\u025b.na/', u'/se.de.j\u025b.na/', u'/se.de.j\u025b.na/']
ceder	[u'/\u02c8sed\u0259r/', u'/\u02c8sed\u0259r/']
cel	[u'/s\u025bl/']
celkern	[u'/s\u025blk\u025br\u0259n/']
cellulair	[u'/s\u025b.ly.\u02c8l\u025b\u02d0r/']
cellulose	[u'/\u02ccs\u025b.ly.\u02c8lo.z\u0259/']
celwand	[u'/s\u025bl\u028b\u0251nd/']
cenakel	[u's\u0259\u02c8nak\u0259l']
censuur	[u'/s\u025bn\u02c8syr/, /s\u025bn\u02c8zyr/']
centimeter	[u"/'s\u025bnti\u02ccmet\u0259r/"]
Centraal-Afrikaanse Republiek	[u'/s\u025bn.\u02cctra\u026b.a.fri.\u02cckan.s\u0259.re.py.\u02c8blik/', u'/s\u025bn.\u02cctral.a.fri.\u02cckan.s\u0259.re.py.\u02c8blik/', u'/s\u025bn.\u02cctral.\u0251.fri.\u02cckans.re.p\u028f.\u02c8bli\u02d0k/']
centriool	[u'/\u02ccs\u025bntri\u02c8ol/']
certificaat	[u'/\u02ccs\u025brtifi\u02c8kat/', u'/\u02ccs\u025brtifi\u02c8kat/']
certificaatje	[u'/\u02ccs\u025brtifi\u02c8kacj\u0259/', u'/\u02ccs\u025brtifi\u02c8katj\u0259/']
certificaatjes	[u'/\u02ccs\u025brtifi\u02c8kacj\u0259s/', u'/\u02ccs\u025brtifi\u02c8katj\u0259s/']
certificaten	[u'/\u02ccs\u025brtifi\u02c8kat\u0259(n)/', u'/\u02ccs\u025brtifi\u02c8kat\u0259(n)/']
chabadnik	[u'/xa\u02c8b\u0251dnik/']
chabadniks	[u'/xa\u02c8b\u0251dn\u026aks/']
chacham	[u'/x\u0251\u02c8x\u0251m/']
chachamiem	[u'/x\u0251xa\u02c8mim/']
chadariem	[u'/xada\u02c8rim/']
chadasj	[u'/xa\u02c8d\u0251\u0283/']
chaf	[u'/x\u0251f/']
chafs	[u'/x\u0251fs/']
chag	[u'/x\u0251\u0261/']
Chag Habikoeriem	[u"/'x\u0251\u0261 h\u0251biku'rim/"]
chag sameach	[u"/x\u0251\u0261 sa'me\u0251x/"]
chagiem	[u"/xa'\u0261im/"]
chagrijnig	[u'/\u0283\u0251\u02c8\u0263r\u025b\u026an\u0259\u0263/']
chai	[u'/x\u0251j/']
chajiem	[u'/xa\u02c8jim/']
chala	[u'/xa\u02c8la/']
chalaviem	[u'/xala\u02c8vim/']
Chaldeeuws	[u'/x\u0251l\u02c8dews/']
Chaldeeër	[u'/x\u0251l\u02c8dej\u0259r/']
Chaldeeërs	[u'/x\u0251l\u02c8dej\u0259rs/']
chalitsa	[u"/xali'tsa/"]
chalitsot	[u"/xali'ts\u0254t/"]
challe	[u'/\u02c8x\u0251l\u0259/']
challef	[u'/\u02c8x\u0251l\u0259f/']
challefs	[u'/\u02c8x\u0251l\u0259fs/']
challes	[u'/\u02c8x\u0251l\u0259s/']
challisj	[u"/'x\u0251li\u0283/"]
challisje	[u"/'x\u0251li\u0283\u0259/"]
chaloets	[u'/xa\u02c8luts/']
chaloetsiem	[u'/xalu\u02c8tsim/']
chalokem	[u'/xa\u02c8lok\u0259m/']
chaloosjes	[u'/xalo\u0283\u0259s/']
chalot	[u'/xa\u02c8l\u0254t/']
chameesj megilot	[u"/xa'me\u0283 m\u0259\u0261i'l\u0254t/"]
chameets	[u'/xa\u02c8mets/']
chammer	[u'/\u02c8x\u0251m\u0259r/']
chammers	[u'/\u02c8x\u0251m\u0259rs/']
chamorem	[u'/xa\u02c8mor\u0259m/']
champignon	[u'/\u02cc\u0283\u0251mpi\u02c8j\u0254n/']
chamsien	[u'/x\u0251m\u02c8sin/']
chamsiens	[u'/x\u0251m\u02c8sins/']
chamsin	[u'/\u03c7\u0251m\u02c8si\u02d0n/']
chamsiniem	[u'/x\u0251msi\u02c8nim/']
chanichiem	[u'/xani\u02c8xim/']
chaniech	[u'/xa\u02c8nix/']
Channeke	[u'/\u02c8x\u0251n\u0259k\u0259/']
Chanoeka	[u"/'x\u0251nuka/"]
chanoekat habajit	[u"/xanu'k\u0251t ha'b\u0251jit/"]
chanoekia	[u'/xanuki\u02c8ja/', u'/xa\u02c8nukija/']
chanoekia's	[u'/xa\u02c8nukijas/']
chanoekilje	[u"/xanu'kilj\u0259/"]
chanoekiljes	[u"/xanu'kilj\u0259s/"]
chanoekiot	[u'/xanuki\u02c8j\u0254t/']
chansonnier	[u'/\u0283\u0251\u0303s\u0254\u0303\u02c8nje/', u'/\u0283\u0251ns\u0254\u0303\u02c8nje/']
chansonnière	[u'/\u0283\u0251\u0303s\u0254\u0303\u02c8nj\u025b\u02d0r\u0259/', u'/\u0283\u0251ns\u0254\u0303\u02c8nj\u025b\u02d0r\u0259/']
chanteur	[u'/\u0283\u0251n\u02c8t\xf8r/', u'/\u0283\xe3\u02c8t\xf8r/']
chaos	[u'/\u02c8xa\u0254s/']
chapeau	[u'/\u0283a.\u02c8po\u02d0/']
chaperon	[u'/\u0283ap\u0259\u02c8r\u0254n/']
char-à-bancs	[u'/\u02c8\u0283\u0251rab\xe3/']
charedi	[u"/xare'di/"]
charediem	[u"/xare'dim/"]
charedim	[u'/xa\u02c8redim/']
Charlois	[u"/'sar.los/", u"/'s\u02b2ar.los/"]
charme	[u'/sjarme/']
charoset	[u"/xa'r\u0254s\u025bt/"]
charote	[u'/xa\u02c8rot\u0259/']
charouses	[u'/xa\u02c8r\u0251us\u0259s/']
charpe	[u'/\u02c8x\u0251rp\u0259/']
charpes	[u'/\u02c8x\u0251rp\u0259s/']
chasadiem	[u'/xasa\u02c8dim/']
chasidee Asjkenaz	[u'/xasi\u02c8de \u0251\u0283k\u0259\u02c8n\u0251s/']
chasidee oemot haolam	[u'/xasi\u02c8de u\u02c8m\u0254t ha\u0294o\u02c8l\u0251m/']
chassene	[u'/\u02c8x\u0251s\u0259n\u0259/']
chassidiem	[u'/\u03c7\u0251si\u02c8dim/']
chassidim	[u'/\u03c7\u0251si\u02c8dim/']
chassidisch	[u'/\u03c7\u0251\u02c8sidis/']
chassidische	[u'/\u03c7\u0251\u02c8sidis\u0259/']
chassidisme	[u'/\u03c7\u0251si\u02c8d\u026asm\u0259/']
chassied	[u'/\u03c7\u0251\u02c8sit/']
chassiedem	[u'/\u03c7\u0251\u02c8sid\u025bm/']
chassieden	[u'/\u03c7\u0251\u02c8sid\u0259(n)/']
chataf kamats	[u'/xa\u02c8t\u0251f ka\u02c8m\u0251ts/']
chataf patach	[u"/xa't\u0251f p\u0251't\u0251x/"]
chataf segol	[u"/xa't\u0251f s\u0259'\u0261\u0254l/, /xa't\u0251f s\u025b'\u0261\u0254l/"]
chatan	[u'/xa\u02c8t\u0251n/']
chatan Beresjiet	[u"/xa't\u0251n b\u0259re'\u0283it/"]
chatan Tora	[u'/xa\u02c8t\u0251n to\u02c8ra/']
chataniem	[u'/xata\u02c8nim/']
chataïem	[u'/xata\u02c8\u0294im/']
chateef kamets	[u'/xa\u02c8tef \u02c8kam\u025bts/']
chateef patach	[u"/xa'tef 'p\u0251t\u0251x/"]
chateef segol	[u"/xa'tef s\u0259'\u0261\u0254l/, /xa'tef s\u025b'\u0261\u0254l/"]
chatima	[u'/xati\u02c8ma/']
chatima tova	[u'/xati\u02c8ma to\u02c8va/']
chatimot	[u'/xati\u02c8m\u0254t/']
chatoena	[u'/xatu\u02c8na/']
chatoenot	[u'/xatu\u02c8n\u0254t/']
chatten	[u'/\u02c8t\u0283\u025bt\u0259(n)/', u'/\u02c8t\u0283\u0251t\u0259(n)/']
chattes	[u'/\u02c8x\u0251t\u0259s/']
chauffeur	[u'/\u0283o.\u02c8f\u028f\u02d0r/', u'/\u0283\u028c\u028a\u032f.\u02c8f\u028f\u02d0r/', u'/\u0283o.\u02c8f\xf8\u02d0r/', u'/\u0283a\u028a\u032f.\u02c8f\xf8\u02d0r/']
chauffeurtje	[u'/\u0283o\u02c8f\xf8rc\u0259/']
chauffeurtjes	[u'/\u0283o\u02c8f\xf8rc\u0259s/']
chaveer	[u"/xave'rim/"]
chavera	[u"/xave'ra/"]
chaveriem	[u'/xave\u02c8rim/']
chaverot	[u"/xave'r\u0254t/"]
chavoera	[u'/xavu\u02c8ra/']
chavoerot	[u'/xavu\u02c8r\u0254t/']
chavroeta	[u'/x\u0251\u02c8vruta/']
chavroetes	[u'/x\u0251\u02c8vrut\u0259s/']
chavveirem	[u'/x\u0251\u02c8v\u025bir\u0259m/']
chavver	[u'/\u02c8x\u0251v\u0259r/']
chazak baroech	[u'/xa\u02c8z\u0251k ba\u02c8rux/']
chazan	[u'/\u03c7a\u02c8z\u0251n/', u'/\u02c8\u03c7az\u0251n/']
chazaniem	[u'/\u03c7aza\u02c8nim/']
chazanoet	[u'/xaza\u02c8nut/']
chazans	[u'/\u03c7a\u02c8z\u0251ns/']
chazoke	[u'/xa\u02c8zok\u0259/']
chazon	[u'/xa\u02c8z\u0254n/']
Chazon	[u'/xa\u02c8z\u0254n/']
chazones	[u'/xa\u02c8zon\u0259s/']
chazonim	[u'/\u03c7azo\u02c8nim/']
chazzen	[u'/\u02c8x\u0251z\u0259(n)/']
chazzens	[u'/\u02c8x\u0251z\u0259ns/']
chazzer	[u'/\u02c8x\u0251z\u0259r/']
chazzers	[u'/\u02c8x\u0251z\u0259rs/']
chazzonem	[u'/x\u0251\u02c8zon\u0259m/']
chebra	[u"/x\u025b'bra/"]
chebrot	[u"/x\u025b'br\u0254t/"]
checken	[u'/\u02c8t\u0283\u025bk\u0259n/']
cheder	[u"/'x\u025bd\u025br/"]
cheet	[u'/xet/']
cheider	[u'/\u02c8x\u025bid\u0259r/']
cheiders	[u'/x\u025bid\u0259rs/']
cheilek	[u"/'x\u025b\u026al\u0259k/"]
chelev	[u"/'x\u025bl\u025bv/"]
cherem	[u"/'x\u025br\u025bm/"]
cherems	[u"/'x\u025br\u025bms/"]
cheroet	[u"/xe'rut/"]
Cherokee	[u'/t\u0283\u025b.\u02c8r\u0254.ki/', u'/\u02c8t\u0283e\u02d0.ro.ke\u02d0/']
cherub	[u'/\u02c8xer\u028fp/']
cherubijn	[u"/xery'b\u025b\u026an/"]
cherubijnen	[u"/xery'b\u025b\u026an\u0259n/"]
cherubs	[u'/\u02c8xer\u028fps/']
chesed	[u"/'x\u025bs\u025bt/"]
chesjiewes	[u"/x\u0259'\u0283iw\u0259s/"]
chesjieweste	[u"/x\u0259'\u0283iw\u0259st\u0259/"]
chesjvan	[u'/\u02c8x\u025b\u0283v\u0251n/', u'/x\u025b\u0283\u02c8v\u0251n/']
chessen	[u'/\u02c8x\u025bs\u0259(n)/']
chet	[u'/x\u025bt/']
chets	[u'/x\u025bts/']
chevra	[u"/x\u025b'vra/"]
chevra kadiesja	[u"/'x\u025bvra ka'di\u0283a/, /x\u025b'vra kadi'\u0283a/"]
chevre	[u"/'x\u025bvr\u0259/"]
chevre kadiesje	[u"/'x\u025bvr\u0259 ka'di\u0283\u0259/"]
chevres	[u"/'x\u025bvr\u0259s/"]
chevroese	[u"/x\u0259'vrus\u0259/"]
chevroeses	[u"/x\u0259'vrus\u0259s/"]
chevrot	[u"/x\u025b'vr\u0254t/"]
chic	[u'/s\u02b2ik/', u'/\u0283ik/']
chidoesjiem	[u'/xidu\u02c8\u0283im/']
Chili	[u'/\u02c8\u0283i.li/', u'/\u02c8\u0283i.li/']
chillen	[u'/\u02c8t\u0283\u026al\u0259(n)/']
chiloel	[u'/xi\u02c8lul/']
chiloel Hasjeem	[u'/xi\u02c8lul h\u0251\u02c8\u0283em/']
chiloeliem	[u'/xilu\u02c8lim/']
chiloni	[u'/xilo\u02c8ni/']
chiloniem	[u'/xilo\u02c8nim/']
chimpansee	[u'/\u02cc\u0283\u026am.p\u0251n.\u02c8se/']
China	[u'/\u02c8\u0283i.na/', u'/\u02c8\u0283i.na/', u'/\u02c8\u0283i.na/']
Chinees	[u'/\u0283i.\u02c8nes/', u'/\u0283i.\u02c8nes/', u'/\u0283i.\u02c8nes/']
Chinese	[u'/\u0283i.\u02c8ne.s\u0259/', u'/\u0283i.\u02c8ne.s\u0259/', u'/\u0283i.\u02c8ne.s\u0259/']
chinoech	[u'/xi\u02c8nux/']
chioev	[u'/xi\u02c8juf/']
chioeviem	[u'/xiju\u02c8vim/']
chirek	[u'/\u02c8xir\u025bk/']
chireks	[u'/\u02c8xir\u025bks/']
chiriek	[u'/xi\u02c8rik/']
chirieks	[u'/xi\u02c8riks/']
chirurg	[u"/\u0283i'r\u028fr(\u0259)x/"]
Chitiet	[u'/xi\u02c8tit/']
Chitieten	[u'/xi\u02c8tit\u0259(n)/']
Chiviet	[u'/xi\u02c8vit/']
Chivieten	[u'/xi\u02c8vit\u0259(n)/']
Chiwwiet	[u'/x\u026a\u02c8wit/']
Chiwwieten	[u'/x\u026a\u02c8wit\u0259(n)/']
chlamydia's	[u'/xla\u02c8midias/']
chloroplast	[u'/xlor\u0254pl\u0251st/']
choanoflagellata	[u'/xo\u02c8anofl\u0251\u0263\u025b\u02cclata/']
choanoflagellaten	[u'/xo\u02c8anofl\u0251\u0263\u025b\u02cclat\u0259(n)/']
chochma	[u'/x\u0254x\u02c8ma/']
chochme	[u'/\u02c8x\u0254xm\u0259/']
chochmes	[u'/\u02c8x\u0254xm\u0259s/']
chochmot	[u'/x\u0254x\u02c8m\u0254t/']
chocola	[u'/\u02cc\u0283o.ko.\u02c8la/', u'/\u02cc\u0283o.ko.\u02c8la/', u'/\u02cc\u0283o.ko.\u02c8la/']
chocolaatje	[u"/s\u02b2oko'lat\u02b2\u0259/", u"/\u0283oko'lac\u0259/"]
chocolade	[u'/\u02cc\u0283o.ko.\u02c8la.d\u0259/', u'/\u02cc\u0283o.ko.\u02c8la.d\u0259/', u'/\u02cc\u0283o.ko.\u02c8la.d\u0259/']
chocoladekleur	[u'/s\u02b2oko\u02c8lad\u0259kl\xf8r/']
choekiem	[u'/xu\u02c8kim/']
choemasj	[u'/xu\u02c8m\u0251\u0283/']
choemasjiem	[u'/xum\u0251\u02c8\u0283im/']
choemesj	[u'/\u02c8xum\u025b\u0283/']
choemoes	[u'/\u02c8xumus/']
choemosjem	[u'/xu\u02c8m\u0254\u0283\u0259m/']
choepa	[u'/xu\u02c8pa/']
choepot	[u'/xu\u02c8p\u0254t/']
choeravot	[u'/xura\u02c8v\u0254t/']
choerba	[u'/xur\u02c8ba/']
