!Xóõ	[u'ko']
'k	[u'/(\u0259)k/', u'/(\u0259)k/']
aantrekkelijk	[u'/an\u02c8tr\u025bk\u0259l\u0259k/']
aantrekkingskracht	[u'/\u02c8antr\u025bk\u026a\u014bs\u02cckr\u0251xt/']
aanval	[u'/\u02c8anv\u0251l/']
aanvallen	[u"/'an.v\u0251.l\u0259(n)/"]
aanvankelijk	[u'/a\u0271\u02c8v\u0251\u014bk\u0259l\u0259k/']
aanvaren	[u'/anvar\u0259(n)/']
aanvechtbaar	[u'/an\u02c8v\u025bxtbar/']
aanvoel	[u'/\u02c8anvu\u026b/', u'/\u02c8anvul/']
aanvoelde	[u'/\u02c8anvu\u026bd\u0259/', u'/\u02c8anvuld\u0259/']
aanvoelden	[u'/\u02c8anvu\u026bd\u0259(n)/', u'/\u02c8anvuld\u0259(n)/']
aanvoelen	[u'/\u02c8anvul\u0259(n)/', u'/\u02c8anvul\u0259(n)/']
aanvoelend	[u'/\u02c8anvul\u0259nt/', u'/\u02c8anvul\u0259nt/']
aanvoelt	[u'/\u02c8anvu\u026bt/', u'/\u02c8anvult/']
aanvoeren	[u'/\u02c8anvur\u0259(n)/']
aanvullen	[u'/\u02c8anv\u028fl\u0259(n)/']
aanwassen	[u"/'a:nw\u0251s\u0259n/"]
aanwippen	[u'/\u02c8an\u028b\u026ap\u0259(n)/']
aanzien	[u'/ \u2018a.nzi.n/']
aanzoek	[u'/\u02c8anzuk/']
aanzuigen	[u'/\u02c8anz\u0153\u028f\u0263\u0259(n)/']
aap	[u'/ap/']
aapje	[u'/\u02c8apj\u0259/']
aapjes	[u'/\u02c8apj\u0259s/']
Aar	[u'/ar/']
aardappelkever	[u'/\u02c8ar.d\u0251.p\u0254\u026b.ke.v\u0259r/', u'/\u02c8ar.d\u0251.p\u0259\u026b.ke.v\u0259r/', u'/\u02c8ar.d\u0251.p\u0259\u026b.ke.v\u0259r/', u'/\u02c8a\u02d0rd.\u0251.p\u0259l.ke.v\u0259r/']
aardappelmesje	[u'/\u02c8ard\u0251p\u0259\u026b\u02ccm\u025b\u0283\u0259/']
aardappelpuree	[u'/\u02c8ard\u0251\u02ccp\u0259\u026bpy\u02c8re/']
aardbol	[u'/\u0294ardb\u0254l/', u'/\u0294artb\u0254l/']
aarddraad	[u'/\u02c8artrat/']
aarde	[u'/\u02c8ard\u0259/']
Aarde	[u'/\u02c8ard\u0259/']
aardgas	[u'/artx\u0251s/']
aardhommel	[u'/\u02c8art.\u0266\u0254.m\u0254\u026b/', u'/\u02c8art.\u0266\u0254.m\u0259\u026b/', u'/\u02c8a\u02d0rd.h\u0254.m\u0259l/']
aardig	[u'/\u02c8ar.d\u0259\u03c7/', u'/\u02c8ar.d\u0259x/', u'/\u02c8a\u02d0r.d\u026ax/']
aardige	[u'/\u02c8ar.d\u0259.\u03c7\u0259/', u'/\u02c8ar.d\u0259.\u0263\u0259/', u'/\u02c8ar.di.\u0263\u0259/']
aardiger	[u'/\u02c8ar.d\u0259.\u03c7\u0259r/', u'/\u02c8ar.d\u0259.\u0263\u0259r/', u'/\u02c8ar.di.\u0263\u0259r/']
aardigere	[u'/\u02c8ar.d\u0259.\u03c7\u0259.r\u0259/', u'/\u02c8ar.d\u0259.\u0263\u0259.r\u0259/', u'/\u02c8ar.di.\u0263\u0259.r\u0259/']
aardigers	[u'/\u02c8ar.d\u0259.\u03c7\u0259rs/', u'/\u02c8ar.d\u0259.\u0263\u0259rs/', u'/\u02c8ar.di.\u0263\u0259rs/']
aardigs	[u'/\u02c8ar.d\u0259\u03c7s/', u'/\u02c8ar.d\u0259xs/', u'/\u02c8ar.d\u026axs/']
aardigst	[u'/\u02c8ar.d\u0259\u03c7st/', u'/\u02c8ar.d\u0259xst/', u'/\u02c8ar.d\u026axs/']
aardigste	[u'/\u02c8ar.d\u0259\u03c7.st\u0259/', u'/\u02c8ar.d\u0259x.st\u0259/', u'/\u02c8ar.d\u026ax.st\u0259/']
aardolieproduct	[u'/\u02c8a\u02d0rtolipro\u02ccd\u028fkt/']
aardpeer	[u'/\u02c8artp\u026a\u02d0r/']
aardvarken	[u'/\u02c8a\u02d0rtf\u0251rk\u0259(n)/']
aarsmade	[u'/\u02c8arsmad\u0259/']
aarstulp	[u'/\u02c8arst\u028flp/']
aarstulpen	[u'/\u02c8arst\u028flp\u0259n/']
